"species","weighted_lat","q95_lat","coastal_overlap","n_cells","matched_name","warm_flag_am"
"Triglops pingelii",60.0295832407849,75.5,0.00701310334421912,3592,NA,"northern_species"
"Sebastes mentella",53.9026529529334,66,0,1934,NA,"northern_species"
"Gymnelus viridis",59.2241339671733,75.5,0.00754635623453524,3517,NA,"northern_species"
"Liparis coheni",44.8742619408157,49,0.0278582013434664,706,NA,"northern_species"
"Thunnus alalunga",27.2112695327183,42,0,6935,NA,"possible_warm_water"
"Salvelinus alpinus",61.2576971130868,75.5,0.0100814517028963,2379,NA,"northern_species"
"Myoxocephalus quadricornis",62.3494644542039,76,0.00684755374939839,2784,NA,"northern_species"
"Ammodytes personatus",NA,NA,NA,0,NA,NA
"Oncorhynchus clarkii",NA,NA,NA,0,NA,NA
"Sebastes fasciatus",46.3143895944654,51,0.010024315293331,1277,NA,"northern_species"
"Eumesogrammus praecisus",62.3220749377346,75.5,0,2535,NA,"northern_species"
"Lycodes lavalaei",48.4305488937437,54,0.015572557336295,802,NA,"northern_species"
"Gasterosteus wheatlandi",46.4999711819272,50,0.0691642650821613,252,NA,"northern_species"
"Pleuronichthys cornutus",NA,NA,NA,0,NA,NA
"Anisarchus medius",58.5781294963804,76,0.0089267299230032,3307,NA,"northern_species"
"Stichaeus punctatus",53.3620708546293,70,0.0202686778750698,2172,NA,"northern_species"
"Liopsetta glacialis",NA,NA,NA,0,NA,NA
"Mola mola",35.134011963495,50,0.0023558200367495,6796,NA,"northern_species"
"Micromesistius poutassou",47.1319186590647,58.5,0.000431162015723703,2993,NA,"northern_species"
"Engraulis ringens",NA,NA,NA,0,NA,NA
"Cryptacanthodes giganteus",NA,NA,NA,0,NA,NA
"Thunnus obesus",26.7850570067323,41,0,6345,NA,"possible_warm_water"
"Thunnus atlanticus",25.5307399319352,39,0,5040,NA,"southern_range_edge"
"Scomber colias",25.2974045146973,39,0,1095,NA,"southern_range_edge"
"Sebastes viviparus",61.261682245854,61.5,0,73,NA,"northern_species"
"Clupea pallasii",NA,NA,NA,0,NA,NA
"Lycodes nakamurae",NA,NA,NA,0,NA,NA
"Euthynnus alletteratus",24.5511134746525,40,0,1310,NA,"southern_range_edge"
"Myoxocephalus brandtii",NA,NA,NA,0,NA,NA
"Myoxocephalus stelleri",63.5,63.5,0,26,NA,"northern_species"
"Myoxocephalus polyacanthocephalus",NA,NA,NA,0,NA,NA
"Gymnocanthus intermedius",NA,NA,NA,0,NA,NA
"Gymnocanthus galeatus",NA,NA,NA,17,NA,NA
"Gymnocanthus herzensteini",NA,NA,NA,0,NA,NA
"Argyrocottus zanderi",NA,NA,NA,0,NA,NA
"Hemitripterus villosus",NA,NA,NA,0,NA,NA
"Eumicrotremus derjugini",66.9143200330619,76,0,3197,NA,"northern_species"
"Thunnus tonggol",NA,NA,NA,0,NA,NA
"Thunnus maccoyii",NA,NA,NA,0,NA,NA
"Thunnus orientalis",14.6864450788025,16.5,0,104,NA,"tropical"
"Gymnelus retrodorsalis",66.763455796787,79,0,3456,NA,"northern_species"
"Anarhichas minor",54.4513699801889,70.5,0.00634026065016291,1534,NA,"northern_species"
"Acipenser sturio",NA,NA,NA,0,NA,NA
"Paralichthys olivaceus",NA,NA,NA,0,NA,NA
"Psettichthys melanostictus",NA,NA,NA,0,NA,NA
"Hippoglossoides elassodon",NA,NA,NA,0,NA,NA
"Isopsetta isolepis",NA,NA,NA,0,NA,NA
"Eopsetta grigorjewi",NA,NA,NA,0,NA,NA
"Platichthys stellatus",NA,NA,NA,0,NA,NA
